"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"White, yellow, dark orange, brown","Silicates","Humite","Mineral","Nesosilicates","Orthorhombic dipyramidal H\u2013M Symbol (2/m 2/m 2/m)","Humite specimen, Italy","Poor","Orthorhombic","Biaxial (+)","09.AF.50","a = 10.24 \u00c5, b = 20.72 \u00c5, c = 4.73 \u00c5; Z = 4","(Mg,Fe)<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(F,OH)<sub>2</sub>.","White","Transparent","6-6.5","Vitreous","240px-Humite-155029.jpg","n\u03b1 =1.607-1.643, n\u03b2=1.619-1.653, n\u03b3=1.639-1.675",,"3.20 \u2013 3.32"
,"Phosphates","Hureaulite","Mineral","Phosphate","Monoclinic 2/m","Hureaulite from the Cigana Claim, Conselheiro Pena, Minas Gerais, Brazil. Specimen size 2.8 cm.","{100} good","Monoclinic prismatic","Biaxial (-)","08.CB.107/C.04-10","a = 17.594(10) \u00c5, b = 9.086(5) \u00c5, c = 9.404(5) \u00c5; \u03b1 = 90\u00b0, \u03b2 = 96.67(8)\u00b0, \u03b3 = 90\u00b0; Z = 4","<sub>728</sub>.<sub>65</sub> g","Nearly white","Transparent to translucent","3.5","Vitreous to greasy","240px-Hureaulite_01.jpg","n\u03b1 = 1.640 \u2013 1.654 n\u03b2 = 1.649 \u2013 1.659 n\u03b3 = 1.655 \u2013 1.662","Crystals are short prismatic parallel to (100) or equant, sometimes thick tabular, also massive or imperfectly fibrous","3.18 - 3.2 (measured), 3.23 (calculated)"
"Red, pink, black","Sulfides","Hutchinsonite","Mineral","Sulfide",,"Hutchinsonite, from Quiruvilca Mine, Santiago de Chuco Province, Peru. Size: 4.5\u00d74.4\u00d72.2 cm","{100} good","Orthorhombic, symbol (2/m 2/m 2/m), space group: Pbca","biaxial (-)","02.HD.45",,"(Tl,Pb)<sub>2</sub>As<sub>5</sub>S<sub>9</sub>","Red","Subtranslucent to opaque","1.5\u20132","Sub-metallic","240px-Hutchinsonite-169844.jpg","n\u03b1 = 3.078n\u03b2 = 3.176n\u03b3 = 3.188; 2V = 37\u00b0","Acicular \u2013 cccurs as needle-like crystals","4.6"
"Colorless, cream, pale yellow","Silicates","Huttonite","Mineral","Silicate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/n","Unit cell of huttonite","Distinct along , indistinct along ","Monoclinic","Biaxial (+)","09.AD.35","a = 6.77 \u00c5, b = 6.96 \u00c5, c = 6.49\u00a0\u00c5; \u03b2 = 104.99\u00b0; Z = 4","<sub>324</sub>.<sub>12</sub>\u00a0g/mol","White","Transparent to translucent","4.5","Adamantine","240px-Huttonite_unit_cell_Th_green_Si_grey_O_red.png","n\u03b1\u00a0=\u00a01.898, n\u03b2\u00a0=\u00a01.900, n\u03b3\u00a0=\u00a01.922","Prismatic, flattened; typically as anhedral grains","7.1"
"Colourless, white","Borates","Hydroboracite","Mineral","Inoborates",,"Hydroboracite, California(?)",,"Monoclinic","Biaxial (+)","06.CB.15","a = 11.76\u00c5, b = 6.68\u00c5, c = 8.23\u00c5\u03b2 = 102.59\u00b0","CaMgB<sub>6</sub>O<sub>8</sub>(OH)<sub>6</sub>\u00b7<sub>3</sub>H<sub>2</sub>O",,"Transparent","2","Vitreous, silky","240px-Hydroboracite.jpg","n\u03b1 = 1.520 - 1.523 n\u03b2 = 1.534 - 1.535 n\u03b3 = 1.569 - 1.571",,
"green to bluish green, pink, white, gray","Silicates","Hydrogrossular","Mineral","Silicate",,"","none","cubic","Single refractive, anomalous aggregate reaction",,,"Ca<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>-x(OH)<sub>4</sub>x",,,"7 - 7.5","vitreous","240px-Hydrogrossulaar.jpg","1.810 (+.004, -.020)","Massive","4.15 (+.05, -.03)"
"White","Oxides","Hydrokenoelsmoreite","Mineral","Oxide",,"White stolzite grains accent rich yellow veins of Hydrokenoelsmoreite microcrystals","None","Isometric",,"04.DH.15",,"\u25a1<sub>2</sub>W<sub>2</sub>O<sub>6</sub>H<sub>2</sub>O","White",,"3","Adamantine","240px-Hydrokenoelsmoreite-Stolzite-418719.jpg",,,
"Colorless, white","Carbonates","Hydromagnesite","Mineral","Carbonate",,"Hydromagnesite balloon in Jewel Cave","{010} Perfect, {100} Distinct","Monoclinic - Prismatic (pseudo-orthorhombic)","Biaxial (+)","05.DA.05",,"<sub>467</sub>.<sub>64</sub>","White","Transparent to translucent","3.5","Vitreous, silky, pearly, earthy","Hydromagnesite_balloon.jpg","n\u03b1 = 1.523 n\u03b2 = 1.527 n\u03b3 = 1.545","Acicular and as encrustations","2.16 - 2.2"
"White with possible brownish tint","Carbonates","Hydrotalcite","Mineral","Carbonate","(3R polytype) Trigonal hexagonal scalenohedralH-M symbol: 32/mSpace group: R3m","Hydrotalcite with serpentine, Snarum, Modum, Buskerud, Norway. Size: 8.4 x 5.2 x 4.1 cm","{0001}, perfect","Trigonal","Uniaxial (-)","05.DA.50","a = 3.065 \u00c5, c = 23.07 \u00c5; Z = 3/8;","Mg<sub>6</sub>Al<sub>2</sub>CO<sub>3</sub>(OH)<sub>16</sub>\u00b7<sub>4</sub>(H<sub>2</sub>O)","White","Transparent","2","Satiny to greasy or waxy","240px-Hydrotalcite-200667.jpg","n\u03c9 = 1.511 - 1.531 n\u03b5 = 1.495 - 1.529","Subhedral platey crystals, lamellar-fibrous, rarely euhedral prismatic; commonly foliated, massive","2.03 - 2.09"
"Colorless, white, gray, yellow, yellowish green","Phosphates","Hydroxylapatite","Mineral","PhosphateApatite group","Hexagonal 6/m \u2013 dipyramidal","Hydroxylapatite crystals on matrix","Poor on {0001} and {1010}","Hexagonal","Uniaxial (-)","08.BN.05","a = 9.41 \u00c5, c = 6.88 \u00c5; Z = 2","<sub>502</sub>.<sub>31</sub> g","White","Transparent to translucent","5","Vitreous to subresinous, earthy","240px-Mineraly.sk_-_hydroxylapatit.jpg","n\u03c9 = 1.651 n\u03b5 = 1.644","As tabular crystals and as stalagmites, nodules, in crystalline to massive crusts","3.14\u20133.21 (measured), 3.16 (calculated)"
"White to grey, stained pale pink, or pale yellow or brown; colourless in transmitted light.","Carbonates","Hydrozincite","Mineral","Carbonate","Monoclinic prismatic H\u2013M Symbol 2/m","Hydrozincite","Perfect on {100}","Monoclinic","Biaxial (-)","05.BA.15","a = 13.58 \u00c5, b = 6.28 \u00c5,c = 5.41 \u00c5; \u03b2 = 95.51\u00b0, Z = 2","Zn<sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>","White","Transparent, translucent","2 - 2\u00bd","Silky, pearly, dull, earthy","240px-Hydrocynkit%2C_Kopalnia_Ojuela%2C_Mapimi%2C_Durango%2C_Meksyk.jpg","n\u03b1 = 1.630 n\u03b2 = 1.642 n\u03b3 = 1.750","Lathlike or bladed crystals uncommon, in fibrous, stalactitic, reniform, pisolitic aggregates; also earthy, chalky, massive","3.5 - 4"
"Greenish yellow, light brown, colorless","Organic Minerals","Idrialite","Mineral","Organic",,"Idrialite, Skaggs Springs Mine, Sonoma County, California (size: 6.3 x 4.1 x 1.8 cm","{001}, perfect; {100}, poor","Orthorhombic","Biaxial (+)","10.BA.20","a = 8.07 \u00c5, b = 6.42 \u00c5, c = 27.75 \u00c5; Z = 4","C<sub>22</sub>H<sub>14</sub>",,,"1.5","Vitreous to adamantine","240px-Idrialite-172289.jpg","n\u03b1= 1.557 n\u03b2 = 1.734 n\u03b3 = 2.07",,"1.236"
"White when pure","Carbonates","Ikaite","Mineral","Carbonate, hydrous carbonates subgroup","MonoclinicSpace group: C2/c","Calcite after Ikaite var. Glendonite concretion",,"Monoclinic class 2/m","Biaxial (-) ","5.CB.25",,"CaCO<sub>3</sub>\u00b7<sub>6</sub>H<sub>2</sub>O","White",,"3","Dull","240px-Concretion_and_crystals.jpg","n\u03b1 = 1.455n\u03b2 = 1.538n\u03b3 = 1.545","Nearly square prism; pyramidal; sigmoidal: square prism capped with oppositely canted pyramids; massive, tubular (tinolite vr.)","1.83"
"Grey-white to silvery-white, greenish-gray","Silicates","Illite","Mineral","Mica - Phyllosilicates",,"","{001} Perfect","Monoclinic - Prismatic, 2/m","Biaxial (-)","09.EC.60",,"(K,H<sub>3</sub>O)(Al,Mg,Fe)<sub>2</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>[(OH)<sub>2</sub>,(H<sub>2</sub>O)]","white","Translucent","1 - 2","Pearly to dull","240px-Illite.jpg","n\u03b1 = 1.535 - 1.570 n\u03b2 = 1.555 - 1.600 n\u03b3 = 1.565 - 1.605","Micaceous aggregates","2.6 - 2.9"
"Iron-black; gray with a brownish tint in reflected light","Oxides","Ilmenite","Mineral","Oxide","TrigonalH-M symbol: 3Space group: R3","Ilmenite from Miass, Ilmen Mts, Chelyabinsk Oblast', Southern Urals, Urals Region, Russia. 4.5 x 4.3 x 1.5 cm","absent; parting on {0001} and {1011}","Trigonal - rhombohedral","Uniaxial (\u2013)","4.CB.05","a = 5.08854(7) \u00c5, c = 14.0924(3) \u00c5: Z=6","iron titanium oxide, FeTiO<sub>3</sub>","Black","Opaque","5\u20136","Metallic to submetallic","240px-Ilmenite-155036.jpg",,"Granular to massive and lamellar exsolutions in hematite or magnetite","4.70\u20134.79"
,"Silicates","Ilvaite","Mineral","Sorosilicate",,"Ilvaite (Unknown scale)",,"Orthorhombic",,"9.BE.07",,"Ca(Fe<sub>2</sub>+)<sub>2</sub>Fe<sub>3</sub>+[O|OH|Si<sub>2</sub>O<sub>7</sub>]","black",,"5.5-6",,"240px-Ilvanite_with_quartz_and_limonite_Calcium_iron_silicate_Laxey_Mine%2C_South_Mountain%2C_Owyhee_County%2C_Idaho_3016.jpg",,,"3.8-4.1"
,"Borates","Inyoite","Mineral","Nesoborates","Monoclinic P21/a (2/m)","","Good on {001}, distinct on {010}","Monoclinic - prismatic","Biaxial (-)","6.CA.35","a = 10.63 \u00c5, b = 12.06 \u00c5, c = 8.4 \u00c5; \u03b2 = 114.03\u00b0; Z = 4","CaB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>\u00b7<sub>4</sub>H<sub>2</sub>O",,,"2","Vitreous","240px-Inyoite.jpg","n\u03b1 = 1.495 n\u03b2 = 1.505 - 1.512 n\u03b3 = 1.520","Commonly as prismatic to tabular crystals; also in cockscomb aggregates of pseudorhombohedral crystals; coarsely spherulitic or granular","1.875"
"Colourless (fresh); pale yellow, yellow, greenish yellow, brownish, grayish","Halides","Iodargyrite","Mineral","Halide","P6mm (6mm)","Iodargyrite on gossan, Broken Hill Ore Deposit, New South Wales, Australia. Size: 9.3 x 6.3 x 5.7 cm.",,"Hexagonal - dihexagonal pyramidal","Uniaxial (+)","3.AA.10","a = 4.59\u00a0\u00c5, c = 7.51\u00a0\u00c5","AgI","Yellow (shining)","Transparent, translucent","1\u00bd - 2","Adamantine, resinous","240px-Iodargyrite-263859.jpg","n\u03c9 = 2.210 n\u03b5 = 2.220",,"5.69"
"Steel-gray to iron-black, white in polished section","Native Elements","Iron, native iron or telluric iron","Mineral","Native element","IsometricH-M symbol: (4/m32/m)Space group: I m3m","Sawed slab of basalt with bright, metallic native iron inclusions from Uivfaq, Disko Island (size: 7.8 x 3.5 x 0.6\u00a0cm)","{001}; with parting on {112}","Cubic - hexoctahedral",,"1.AE.05","a = 2.8664 \u00c5; Z=2","Fe",,"Opaque","4","Metallic","240px-Iron-136213.jpg",,"Massive, as interstitial blebs, rare as crystals","7.3\u20137.87"
"Black to brownish black","Oxides","Jacobsite","Mineral","OxideSpinel groupSpinel structural group","Isometric (4/m 3 2/m)","","{111}, probably a parting","Isometric Hexoctahedral","Isotropic","04.BB.05","a = 8.457 \u00c5; Z = 8","iron(II,III) manganese oxide, MnFe<sub>2</sub>O<sub>4</sub>","reddish black to brown","Opaque","5.5 - 6.5","Metallic","240px-Jakobsit_-_Jakobsberg%2C_Schweden.jpg","~\ufffd2.3","Disseminated to massive, rarely as octahedral crystals","4.76"
"White","Silicates","Jadarite","Mineral","Nesosilicate","Monoclinic 2/m","Jadarite on display at the Natural History Center in Svilajnac, Serbia",,"Monoclinic","Biaxial","09.AJ.40","a = 6.816(2) \u00c5, b = 13.789(2) \u00c5, c = 6.758(2) \u00c5; \u03b2 = 111.08(2)\u00b0; Z = 4","<sub>219</sub>.<sub>46</sub>","White","Translucent to opaque","4 - 5","Dull","240px-Natural_History_Center_Svilajnac_16.JPG",,"As microscopic anhedral grains","2.45"
"Apple-green, emerald-green, bluish green, leek-green,greenish white, white, may show green spots, rarely blue or violet; colorless in thin section. Often also banded.","Other","Jadeite","Mineral","Pyroxene group",,"Jadeite from Burma","Good on ","Monoclinic prismatic","Biaxial (+)","09.DA.25",,"NaAlSi<sub>2</sub>O<sub>6</sub> or Na(Al,Fe<sub>3</sub>+)Si<sub>2</sub>O<sub>6</sub>","White","Translucent","6.5 - 7","Subvitreous, pearly on cleavages","240px-Jadeite_Sodium_aluminum_silicate_Burma_3025.jpg","n\u03b1 = 1.654 - 1.673 n\u03b2 = 1.659 - 1.679 n\u03b3 = 1.667 - 1.693","Commonly massive, or fibrous, granular; prismatic crystals rare","3.24 to 3.43"
"Pale metallic gray","Sulfides","Jalpaite","Mineral","Sulfide","Tetragonal ditetragonal dipyramidalH-M symbol: (4/m 2/m 2/m)Space group: I 41/amd","Jalpaite crystals from Jalpa, Municipio de Jalpa, Zacatecas, Mexico (size: 3.6 x 3.5 x 3.2 cm)","Prismatic, good","Tetragonal",,"02.BA.45","a = 8.67 \u00c5, c = 11.75 \u00c5; Z = 8","Ag<sub>3</sub>CuS<sub>2</sub>","Black","Opaque","2 - 2.5","Metallic","240px-Jalpaite-rom38a.jpg",,"Irregular and foliated masses, inclusions in other minerals","6.82\u20136.85"
"gray-black","Sulfosalts","Jamesonite","Mineral","Sulfosalt",,"Jamesonite crystals","{001} good; also possibly {010} and {120}","monoclinic",,"02.HB.15",,"Pb<sub>4</sub>FeSb<sub>6</sub>S<sub>14</sub>","gray-black","opaque","2\u00bd","metallic","240px-JamesoniteAnita.jpg",,,"5.63"
"Amber yellow or dark brown","Sulfates","Jarosite","Mineral","Sulfate","Trigonal 3 2/m hexagonal scalenohedral","Jarosite on quartz from the Arabia District, Pershing County, Nevada","Distinct on {0001}","Trigonal","Uniaxial (-), usually anomalously biaxial with very small 2V","07.BC.10","a = 7.304 \u00c5, c = 17.268 \u00c5; Z=3","<sub>500</sub>.<sub>8</sub> g","light yellow","Transparent to translucent","2.5 - 3.5","Subadamantine to vitreous, resinous on fractures","240px-Jarosite_on_quartz_Potassium_iron_sulfate_Arabia_District%2C_Pershing_County%2C_Nevada_2779.jpg","n\u03c9 = 1.815 to 1.820; n\u03b5 = 1.713 to 1.715","Crystals are usually pseudocubic or tabular, also as granular crusts, nodules, fibrous masses or concretionary.","2.9 to 3.3"
"White","Silicates","Jennite","Mineral","Silicate","Triclinic, pinacoidalH-M symbol: (1)Space group: P1","Crystal structure of jennite: elementary unit cell viewed in 3D","Distinct on ","Triclinic","Biaxial (-)","09.DG.20","a = 10.56 \u00c5, b = 7.25 \u00c5, c = 10.81 \u00c5; \u03b1 = 99.7\u00b0, \u03b2 = 97.67\u00b0, \u03b3 = 110.07\u00b0; Z=1","<sub>1063</sub> g/mol","White","Transparent to translucent","3.5","Vitreous (glassy)","240px-Jennite_CSH_3D_Crystal_Structure_RasMol.gif","n\u03b1 = 1.548 - 1.552 n\u03b2 = 1.562 - 1.564 n\u03b3 = 1.570 - 1.571","Blade shaped crystals, fibrous aggregates, platy - sheet forms",
"Colorless, white, yellowish, blue","Borates","Jeremejevite","Mineral","Borate","Hexagonal dipyramidalH-M symbol: (6/m)Space group: P 63/m","Jeremejevite colorless to light blue crystal spray of prisms from Ochtendung, Eifel, Germany","None observed","Hexagonal","Uniaxial (-)","06.AB.15","a = 8.5591(3) \u00c5, c = 8.1814(6) \u00c5; Z=2","Al<sub>6</sub>B<sub>5</sub>O<sub>15</sub>(F,OH)<sub>3</sub>","White","Transparent","6.5 - 7.5","Vitreous","240px-Jeremjevite_colorless_needles_-_Ochtendung%2C_Eifel%2C_Germany.jpg","n\u03c9 = 1.653 n\u03b5 = 1.640","Prismatic","3.28 - 3.31"
"Colorless to very light pinkish brown","Silicates","Jimthompsonite","Mineral","Inosilicates","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: P bca","Jimthompsonite structure","Perfect on {210} with 38\u00b0 and 142\u00b0 intersecting angle","Orthorhombic","Biaxial (-)","09.DF.05","a = 18.626 \u00c5, b = 27.23 \u00c5, c = 5.297 \u00c5; Z=8","(Mg,Fe<sub>2</sub>+)<sub>5</sub>Si<sub>6</sub>O<sub>16</sub>(OH)<sub>2</sub>",,,"2-2.5",,"240px-Jimthompsonite-chain.png","n\u03b1 = 1.605 n\u03b2 = 1.626 n\u03b3 = 1.633","Radiating sprays and fibrous intergrowths","3.02 (calculated)"
"Emerald-green, apple-green","Sulfates","Johannite","Mineral","Sulfate","Triclinic-pinacoidal H-M Symbol (1) Space Group: P1","","good on {100}","Triclinic","Biaxial (+/-)","7.EB.05 (8th ed: VI/D.21-10)",,"Cu[UO<sub>2</sub>(OH)SO<sub>4</sub>]<sub>2</sub>\u00b7<sub>8</sub>H<sub>2</sub>O","Pale green","Transparent, Translucent","2 - 2.5","Vitreous","240px-Johannite-ea9b.jpg","n\u03b1 = 1.572 - 1.577\u00a0; n\u03b2 = 1.592 - 1.597\u00a0; n\u03b3 = 1.612 - 1.616",,
"Lead-grey","Sulfosalts","Jordanite","Mineral","Sulfosalt",,"Jordanite from Binnental, Switzerland","Perfect","Monoclinic",,"02.JB.30a",,"Pb<sub>14</sub>(As,Sb)<sub>6</sub>S<sub>23</sub>","Black",,"3","Metallic","240px-Jordanit_-_Binnental%2C_Schweiz.jpg",,,
"Black to greenish olive","Silicates","Julgoldite","Mineral","Sorosilicates",,"Black spheres of Julgoldite-(Fe2+)"," Good","Monoclinic 2/m","Biaxial (-)","09.BG.20",,"(Ca,Mn)<sub>2</sub>(Fe<sub>2</sub>+,Fe<sub>3</sub>+,Mg)(Fe<sub>3</sub>+,Al)<sub>2</sub>(SiO<sub>4</sub>)(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>(H<sub>2</sub>O)","greenish olive",,"4.5","sub-metallic","240px-Julgoldite-%28Fe2%29-150087.jpg","n\u03b1=1.776 n\u03b2=1.814 n\u03b3=1.836","blades or prisms.","3.6"
"Colorless, milk-white, or colored due to alteration","Silicates","Junitoite","Mineral","Sorosilicate","H-M group: mm2Space group: Ama2","Junitoite structure","Good on {100}; poor on {010} and {011}","Orthorhombic","Biaxial (+)","09.BD.15","a = 12.510(7)b = 6.318(3)c = 8.561(6)Z = 4","CaZn<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>\u00b7H<sub>2</sub>O","Colorless","Transparent to translucent","4.5","Adamantine, Vitreous, Sub-Vitreous","240px-Junitoite_Crystal_Structure.jpg","n\u03b1 = 1.656n\u03b2 = 1.664n\u03b3 = 1.672",,
"Colourless","Sulfates","Jurbanite","Mineral","Sulfate",,"Picture width 5\u00a0mm",,"Monoclinic",,"07.DB.15",,"AlSO<sub>4</sub>(OH)\u00b7<sub>5</sub>H<sub>2</sub>O",,"Transparent","2\u00bd","Vitreous","240px-Jurbanite-111350.jpg",,,
"Colorless; yellow, brownish, greyish-green, red, violet, blue","Sulfates","Kainite","Mineral","Sulfate","Monoclinic prismaticH-M symbol: (2/m)Space group: C 2/m","Kainite","{001}, perfect","Monoclinic","Biaxial (-)","07.DF.10","a = 19.72 \u00c5, b = 16.23 \u00c5, c = 9.53 \u00c5; \u03b2 = 94.92\u00b0","KMg(SO<sub>4</sub>)Cl\u00b7<sub>3</sub>H<sub>2</sub>O","White","Transparent","2.5-3","Vitreous","240px-Kainite_-_Grube_Brefeld%2C_Tarthun%2C_Sta%C3%9Ffurt%2C_Sachsen-Anhalt.jpg","n\u03b1 = 1.494 n\u03b2 = 1.505 n\u03b3 = 1.516","Crystal aggregates, fibrous, massive","2.15"
,"Silicates","Kainosite","Mineral","Silicate",,"","{110} Good","Orthorhombic dipyramidal","Biaxial (-)",,,"<sub>664</sub>.<sub>14</sub> g/mol","White","Transparent to translucent","5\u20136","vitreous to resinous","240px-Kainosite-%28Y%29-tuc1051a.jpg","n\u03b1 = 1.662\u20131.665 n\u03b2 = 1.682\u20131.689 n\u03b3 = 1.687\u20131.692",,
"White to pale blue","Sulfates","Kalinite","Mineral","Sulfate","Monoclinic 2/m","Kalinite from the Virgin Valley District, Nevada, USA. Specimen size 5.4 cm",,"Monoclinic 2/m prismatic","Biaxial (-)","07.CC.15","a = 19.92(16) \u00c5, b = 9.27(3) \u00c5, c = 8.304(13) \u00c5; \u03b2 = 98.79(19)\u00b0; Z = 4","<sub>456</sub>.<sub>37</sub> g","White","Transparent","2 to 2.5","Vitreous","240px-Kalinite_1.jpg","n\u03b1 = 1.429 to 1.430, n\u03b2 = 1.452, n\u03b3 = 1.456 to 1.458","Fibrous","1.75 (observed) 2.0 (calculated)"
"Iron black, steel gray","Other","Kamacite","Mineral","Meteorite",,"Widmanst\u00e4tten pattern showing the two forms of nickel-iron minerals, kamacite and taenite","Indistinct","Isometric (4/m 3 2/m) Space Group: Fm3m",,"01.AE.05",,"<sub>56</sub>.<sub>13</sub>","gray",,"4","metallic","240px-Widmanstatten_hand.jpg",,"Massive - uniformly indistinguishable crystals forming large masses","7.9"
,"Carbonates","Kambaldaite","Mineral","Carbonate",,"Kambaldaite and some gaspeite (light green waxy)",,"Hexagonal",,"05.DA.20",,"NaNi<sub>4</sub>(CO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>\u00b7<sub>3</sub>H<sub>2</sub>O",,,,,"240px-Kambaldaite-105011.jpg",,,
"Light blue gray","Silicates","Kampfite","Mineral","Phyllosilicate","Monoclinic domaticH-M symbol: (m)Space group: Cc","Traskite (brown) and Kampfite (bluish), from Big Creek, Fresno County, California, United States of America","Good on {001}","Monoclinic","Uniaxial - (strongly pseudohexagonal)","9.EG.20","a = 31.2329 \u00c5, b = 5.2398 \u00c5, c = 9.0966 \u00c5; \u03b2 = 106.933\u00b0; Z=1","Ba<sub>12</sub>(Si<sub>11</sub>Al<sub>5</sub>)O<sub>31</sub>(CO<sub>3</sub>)<sub>8</sub>Cl<sub>5</sub>","White","Translucent","3","Vitreous","240px-Traskite_%28brown%29-Kampfite_%28bluish%29.jpg","n\u03c9 = 1.642 n\u03b5 = 1.594","Irregular grains or anhedral crystal inclusions","3.45"
"White, sometimes red, blue or brown tints from impurities","Silicates","Kaolinite","Mineral","PhyllosilicatesKaolinite-serpentine group","Triclinic pedialH-M symbol: (1)Space group: P1","","Perfect on {001}","Triclinic","Biaxial (\u2013)","09.ED.05","a = 5.13 \u00c5, b = 8.89 \u00c5, c\u00a0=\u00a07.25\u00a0\u00c5; \u03b1 = 90\u00b0, \u03b2 = 104.5\u00b0, \u03b3 = 89.8\u00b0; Z = 2","Al<sub>2</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","White",,"2\u20132.5","Pearly to dull earthy","240px-KaoliniteUSGOV.jpg","n\u03b1 = 1.553\u20131.565,n\u03b2 = 1.559\u20131.569,n\u03b3 = 1.569\u20131.570","Rarely as crystals, thin plates or stacked, More commonly as microscopic pseudohexagonal plates and clusters of plates, aggregated into compact, claylike masses","2.16\u20132.68"
"Colorless to white","Silicates","Kegelite","Mineral","Silicate",,"Kegelite microcrystals with a 1 cm. siderite crystal at right, from the type locality","Perfect on {100}","Monoclinic Space group: A2/m,A2,Am","Biaxial (-)","09.EC.80 Phyllosilicates",,"Pb<sub>8</sub>Al<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>(SO<sub>4</sub>)<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>8</sub>","White","Transparent to translucent","no data","Vitreous","240px-Kegelite-Siderite-208648.jpg","n = 1.81 parallel to {100}","Pseudohexagonal plates in spherical aggregates","4.5"
"Red to cherry red, purple","Sulfides","Kermesite","Mineral","Oxysulfide",,"","Perfect {100}, parting on {010}","Triclinic Pinacoidal 1","Biaxial (+)","02.FD.05",,"(Sb<sub>2</sub>S<sub>2</sub>O)","Brownish red","Translucent, Opaque","1 - 2","Adamantine to semimetallic","240px-Mineraly.sk_-_kermezit.jpg","n\u03b1 = 2.720 n\u03b2 = 2.740 n\u03b3 = 2.740","Acicular, fibrous, radial","4.5 - 4.8+"
"Colorless, white","Borates","Kernite","Mineral","Inoborates","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/c","","Perfect on  and , good on ","Monoclinic","Biaxial (-)","06.DB.05","a = 7.0172(2) \u00c5, b = 9.1582(2) \u00c5, c = 15.6774(5) \u00c5, \u03b2 = 108.861(2)\u00b0; Z=4","<sub>273</sub>.<sub>22</sub>","White",,"2.5-3","Vitreous - pearly","240px-Kernite_-_USGS_Mineral_Specimens_692.jpg","n\u03b1=1.454, n\u03b2=1.472, n\u03b3=1.488","Crystalline - occurs as well-formed coarse sized crystals","1.9 - 1.92"
"Greenish black","Sulfides","Kesterite","Mineral","Sulfide","Tetragonal, H-M symbol 4, space group I4","Dark kesterite and transparent beryl in a lepidolite matrix. Mt. Xuebaoding, Sichuan Province, China. Size: 6.1\u00d74.3\u00d73.0 cm.","None","Tetragonal (pseudocubic)",,"02.CB.15a","a = 5.427 \u00c5, c = 10.871 \u00c5; Z = 2","Cu<sub>2</sub>(Zn,Fe)SnS<sub>4</sub>","Black","Opaque","4.5","Metallic","240px-Beryl-Kesterite-149220.jpg",,"Massive","4.54\u20134.59 (meas.); 4.524 (calc.)"
"azure/blue","Arsenates","Keyite","Mineral","Arsenate","2/m","Keyite on adamite (greenish)","good (001) cleavage","monoclinic \u2013 prismatic","biaxial","08.CA.50","a = 11.654(3) \u00c5, b = 12.780(5) \u00c5, c = 6.840(3) \u00c5, \u03b2 = 99.11\u00b0","<sub>1</sub>,<sub>520</sub>.<sub>19</sub> g","light blue","translucent","3.5 - 4",,"240px-Keyite-91228.jpg","n\u03b1 = 1.800, n\u03b2, and n\u03b3 = 1.870","prismatic, tabular",
"Colorless, grayish-white or yellowish","Sulfates","Kieserite","Mineral","Sulfate","Monoclinic prismaticH-M symbol: (2/m)Space group: C2/c","Kieserite","{110} and {111} perfect","Monoclinic","Biaxial (+)","07.CB.05","a = 7.51 \u00c5, b = 7.61 \u00c5, c = 6.92 \u00c5; \u03b2 = 116.17\u00b0","MgSO<sub>4</sub>\u00b7H<sub>2</sub>O","White","Transparent to translucent","3.5","Vitreous to dull","240px-Kieseriet_%28Kieserite%29.jpg","n\u03b1 = 1.520 n\u03b2 = 1.533 n\u03b3 = 1.584","Massive, granular; rarely as pyramidal crystals","2.57"
"Transparent deep blue","Silicates","Kinoite","Mineral","Sorosilicate","2/m - Prismatic","Dark-blue Kinoite from the Christmas Mine, Banner District, Gila County, Arizona USA. Size: 7.6x70x3.5\u00a0cm.","excellent {010}, distinct {001} and {100}","Monoclinic","Biaxial (-)","09.BH.10","a = 6.99\u00c5, b = 12.88\u00c5, c = 5.65\u00c5\u03b2 = 96.18\u00b0","Ca<sub>2</sub>Cu<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)<sub>4</sub>",,"Transparent","2\u00bd","Vitreous","240px-Apophyllite-Kinoite_%280%29_Fond.jpg","n\u03b1 = 1.638 n\u03b2 = 1.665 n\u03b3 = 1.676",,"3.13 - 3.19"
